FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
146 100_S_0006 -0.0023839 -0.0024692 0.00689826 0.00249947 -0.00121107 -0.0051044 -0.00275162 0.0130941 -0.0107007 0.0177899
152 032_S_0479 0.00800464 -0.00057046 -0.00135148 0.0036888 0.00101664 0.00682212 -0.001833 0.00296274 -0.0136107 -0.011613
153 137_S_0481 -0.00238404 -0.00504366 -0.0141645 -0.0036645 0.0176135 -0.00223657 0.00348545 -0.0111595 -0.00476263 -0.00592549
154 128_S_0216 -0.0154602 0.0207145 0.00400906 0.00461585 -0.00564996 -0.00460939 0.00624692 -0.0138273 0.0123518 0.00750605
155 137_S_1414 -0.00195808 -0.00325124 -0.0069599 -0.00365964 0.00570554 -0.0078165 -0.000963198 -0.00347988 -0.012647 -0.00743242
157 100_S_0190 -0.00793714 -0.00788551 0.0237828 -0.000829772 -0.00789932 -0.013318 -0.00134635 0.00200838 -0.00736519 0.00519515
158 130_S_0783 0.015969 -0.000574329 0.00127915 0.00744973 -0.0125728 -0.00802397 0.0112508 0.00275928 -0.005413 0.00261523
159 098_S_0884 -0.00335131 0.0258165 0.0102205 0.00188102 0.000311994 -0.00208135 -0.00260406 0.00403786 -0.00437814 0.00335437
160 007_S_0068 0.0157611 0.00255822 -0.00399462 0.0121531 -0.0155656 -0.0140844 0.00714114 0.00315252 -0.00267817 -0.00714662
161 016_S_1326 0.0104941 -0.00639351 -0.0100355 0.0130995 -0.0100099 -0.0119435 0.0208764 0.00789086 -0.000273502 -0.00481112
162 041_S_1002 -0.00647257 -0.00728053 0.0174566 0.00270795 -0.00017251 -0.00143168 -0.00770067 0.00194511 -0.00253017 -0.0101187
163 027_S_0417 -0.00650255 -0.0082209 -0.0110674 0.0136127 -0.00640889 0.0151437 -0.00576652 0.00665767 -0.000692663 0.00195475
165 023_S_1289 0.0115173 0.00193666 0.00383679 0.000528086 0.00277273 -0.00728681 0.000631837 0.00292705 0.00449955 0.00170828
166 037_S_0303 0.00739421 0.00244725 0.00264486 -0.00258164 0.000650245 0.00740399 -0.00564766 -0.000175138 2.1803e-06 -0.00298071
167 033_S_1279 0.0114855 -0.00357392 0.00193408 -0.0141355 0.00150731 3.58545e-05 0.00782371 0.0024608 0.0116626 0.00413426
168 037_S_0150 0.0152019 0.00164362 0.0027089 -0.00594226 -0.00776724 -0.000651254 -0.00152052 0.00377328 0.00166391 -0.00440383
169 067_S_0110 0.00580788 -0.00483659 -0.00256692 0.0333436 0.0136797 0.0305344 -0.00213817 -0.0147251 -0.0071327 -0.00414479
170 073_S_0445 0.0027559 -0.00244742 -0.00192059 0.00590086 0.00176069 -0.00618412 0.00208099 -0.00702644 -0.00776572 0.00668449
173 022_S_0544 0.0111347 -0.00476665 0.00581258 -0.0165445 -0.0027576 -0.00150543 -0.00311472 0.00343972 0.00533996 0.00787651
174 031_S_0830 -0.0154401 -0.00605374 -0.00632555 0.00724469 -0.00810964 0.000467621 -0.0135369 -0.00584296 -0.00299787 0.0244195
175 033_S_0906 0.00403196 0.0164246 0.00843282 0.0065705 -0.0114634 -0.00996624 -0.00261485 -0.00241473 -0.0082774 0.00554923
176 035_S_0204 -0.0125943 0.0206886 0.0033241 0.00531765 0.00388144 0.00140883 -0.00109561 -0.0121257 0.010294 0.00850074
179 007_S_0041 -0.00234414 -0.00367386 -0.00143617 -0.00851631 0.0129168 -0.00694516 0.00631157 -0.0136148 -0.00632563 0.00688362
180 011_S_0168 0.00713143 -0.0016624 0.001037 0.0152811 -0.00957677 -0.00126443 -0.0147371 -0.0149264 -0.00697237 -0.000844708
181 006_S_0675 -0.00400988 -0.00154791 -0.0140539 -0.00274318 0.009725 -0.0214325 -0.0142579 0.0149571 -0.0100739 -0.00177187
182 016_S_1263 -0.00126618 -0.00217651 -0.00424289 0.00610468 0.00156539 -0.00866346 -0.00768081 -0.015768 -0.00993077 -0.0150401
183 041_S_1423 -0.000971451 -0.00419713 -0.00131709 -0.0151533 0.00164939 0.0069516 0.00936177 0.0233279 0.00349065 0.00454935
