Feature_Length,Accuracy,Precision,Recall,AUPRC,AUROC,F1_Score
22,0.4365384615384615,0.4526984126984127,0.46373015873015866,0.5337018843149794,0.49143849206349205,0.41715839715839714
23,0.39743589743589747,0.4185858585858585,0.4312301587301587,0.5305954839913174,0.43655753968253974,0.381968031968032
24,0.4371794871794871,0.4658333333333332,0.4909523809523809,0.5499803860161003,0.4800297619047619,0.4384615384615384
25,0.45961538461538465,0.4794444444444445,0.5031746031746033,0.5636510949368092,0.5033035714285714,0.44591075591075596
26,0.4608974358974359,0.4805555555555555,0.48480158730158723,0.6125740511142296,0.5278869047619048,0.43360223110223106
27,0.4448717948717948,0.4757936507936507,0.4862301587301586,0.5697958351723231,0.5196230158730158,0.4394272394272393
28,0.4903846153846153,0.5508333333333334,0.5167460317460317,0.6059249070484191,0.5254861111111111,0.4814685314685315
29,0.4198717948717949,0.47269841269841273,0.5221428571428571,0.45817971446542877,0.4167261904761904,0.433262619733208
30,0.38205128205128214,0.40861111111111104,0.4382936507936508,0.5220108181611157,0.42447420634920635,0.3850641025641025
31,0.37435897435897436,0.40698412698412695,0.4196428571428572,0.5033557832709619,0.3830555555555556,0.37838938838938835
32,0.34294871794871795,0.40330808080808084,0.4828571428571428,0.5462334739775215,0.39652777777777776,0.40563656931304
33,0.47756410256410253,0.5275,0.5370238095238095,0.5922867233626162,0.5381051587301587,0.4882783882783883
34,0.42115384615384616,0.4477777777777778,0.4685714285714286,0.5132504553427173,0.4501686507936508,0.4148984348984349
35,0.3980769230769231,0.4371969696969697,0.4741269841269841,0.49980471903537377,0.3985019841269841,0.40896436896436894
36,0.4217948717948718,0.44186507936507935,0.40444444444444444,0.5037943078196054,0.36589285714285713,0.37254079254079253
37,0.4121794871794872,0.44546536796536806,0.5081349206349206,0.5198229874732851,0.4363095238095238,0.4229195804195804
38,0.41474358974358977,0.45900793650793653,0.48202380952380947,0.4711716011611845,0.3955654761904762,0.4340150046032399
39,0.39871794871794874,0.4143939393939394,0.4538492063492064,0.5446243800842016,0.4436011904761905,0.3966566766566767
40,0.4141025641025641,0.44416666666666665,0.49730158730158724,0.5062101022324237,0.43068452380952377,0.4184382284382284
41,0.3608974358974359,0.39984126984126983,0.35134920634920636,0.5400766255900185,0.4334325396825397,0.32934176934176934
42,0.4301282051282051,0.4776767676767677,0.4977380952380952,0.5790236345444678,0.47480158730158734,0.4450174825174825
43,0.3826923076923077,0.3733405483405483,0.4257539682539683,0.4661352534150153,0.3635714285714286,0.37222444222444223
44,0.41602564102564105,0.4859126984126984,0.45984126984126983,0.5091623910150695,0.4284126984126984,0.4186113886113886
45,0.3666666666666667,0.3720238095238095,0.45285714285714285,0.5253697593191641,0.4601388888888889,0.3742857142857143
46,0.4314102564102564,0.4846176046176046,0.5182936507936509,0.5662209565126233,0.4298809523809523,0.4551315351315351
47,0.4365384615384616,0.4814069264069264,0.5221428571428571,0.4989855846864775,0.42774801587301586,0.4651282051282052
48,0.38974358974358975,0.3998809523809524,0.4462301587301587,0.5023593320810582,0.4222619047619047,0.38914751914751916
49,0.38461538461538464,0.4539393939393939,0.40011904761904765,0.5101951246504818,0.40714285714285714,0.36583055833055833
50,0.31987179487179496,0.37008658008658013,0.4060714285714286,0.49827113874881734,0.3637797619047619,0.3471928071928072
51,0.4,0.4525108225108225,0.4435714285714286,0.5241455173464102,0.4550595238095238,0.39672105672105673
52,0.39166666666666666,0.454018759018759,0.3695634920634921,0.5684209863108671,0.45439484126984125,0.3429315129315129
53,0.43910256410256404,0.5004517704517705,0.5201190476190476,0.5666191749718534,0.47712301587301587,0.44796791443850265
54,0.3429487179487179,0.38166666666666665,0.47706349206349213,0.5314731887380697,0.4165277777777778,0.3817673992673993
55,0.4743589743589743,0.5083333333333333,0.4909523809523809,0.5435246364636245,0.4954761904761905,0.4397181903064256
