Datatype,Model,Year,Size,Features,Average Accuracy,Average Precision,Average Recall,Average F-Score,Average ROC AUC,Average PR AUC
ADNI_from_non_ad,XGBoost,4yrs,562,13,0.6796365914786967,0.7034363167234232,0.6311115246760408,0.7345471904726908,0.7350447929851543,0.676974291981088
ADNI_from_non_ad,XGBoost,4yrs,562,13,0.6796365914786967,0.7034363167234232,0.6311115246760408,0.7345471904726908,0.7350447929851543,0.676974291981088
ADNI_from_cn,XGBoost,4yrs,128,5,0.5320512820512819,0.5045238095238096,0.4886111111111112,0.5837278819615129,0.5400396825396825,0.518259346862288
ADNI_from_mci,XGBoost,4yrs,354,14,0.6833333333333333,0.710266106442577,0.6241635338345864,0.7607898072741843,0.7380076907956166,0.6807853730616867
ADNI_from_cn,XGBoost,4yrs,128,5,0.5641025641025641,0.5491666666666667,0.5867857142857142,0.6453828533129128,0.5963988095238094,0.5524025974025975
ADNI_from_cn,XGBoost,4yrs,128,5,0.5641025641025641,0.5491666666666667,0.5867857142857142,0.6453828533129128,0.5963988095238094,0.5524025974025975
ADNI_from_mci,XGBoost,4yrs,354,28,0.671984126984127,0.7127960030165913,0.5725156641604009,0.7633999315577915,0.7527875857945517,0.6664161080949542
ADNI_from_non_ad,XGBoost,4yrs,562,12,0.7026942355889724,0.7321987632557347,0.6518385106530268,0.7416379200234144,0.7529444656385478,0.7007255959616047
ADNI,NN,6yrs,464,39,[0.77113784],0.7785983813228394,0.6144064707222601,0.7478355356326963,0.7546704704260482,0.6801015986556975
ADNI,XGBoost,6yrs,464,39,0.7023126734505087,0.7329952465834818,0.6414984430773905,0.7825347404506144,0.7867969882901232,0.69794458686846
ADNI,SVM,6yrs,464,39,0.6870490286771508,0.6881122548948636,0.6859346598820283,0.7462720422339071,0.7609817285646805,0.6838256067680467
ADNI,RF,6yrs,464,39,0.717345050878816,0.7461986981027229,0.6684533302954355,0.7729452405804667,0.7658297046097389,0.7135664912358312
ADNI,NN,6yrs,464,40,[0.77770583],0.7958321829529259,0.6288411052884738,0.7561606955544826,0.7572809966963285,0.6991257686928714
ADNI,XGBoost,6yrs,464,40,0.7109158186864015,0.7369047961954139,0.6629270145059618,0.7789382481171969,0.7846682510958827,0.707663970570597
ADNI,SVM,6yrs,464,40,0.6870490286771508,0.6881122548948636,0.6859346598820283,0.7460108146951996,0.7605936239157063,0.6838256067680467
ADNI,RF,6yrs,464,40,0.7238667900092508,0.7502115671487564,0.6818806485911748,0.7715213561983107,0.7739386000367122,0.7203983249714511
ADNI,NN,6yrs,464,41,[0.77761332],0.8027304261785686,0.61263740158477,0.7379820368054039,0.7514676005249518,0.6895590821794174
