FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
KronosII_P02_6.0_G08_ROS10290427.CEL ROS10290427 0.000774747 0.000663655 0.00205951 -0.0108996 0.00216623 -0.00819133 0.0112336 0.00551334 -0.00160197 -0.00114653
KronosII_P02_6.0_G09_ROS20299973.CEL ROS20299973 -0.0100087 -0.00579319 -0.00674639 0.00899764 0.00399004 0.00302926 0.00117023 -0.00600646 0.00776431 -0.0107202
KronosII_P02_6.0_G10_ROS11345331.CEL ROS11345331 0.00250151 0.000914617 0.00288114 -0.00573923 8.49384e-05 -0.0018951 -0.0045448 0.00464723 -0.00143514 -0.000985269
KronosII_P02_6.0_G11_ROS11157783.CEL ROS11157783 -1.29457e-05 0.00276673 -0.00249022 0.00222285 0.000418668 0.00314468 0.00883522 0.00313258 -0.00696485 0.000119148
KronosII_P02_6.0_H01_ROS20492186.CEL ROS20492186 -0.00938801 -0.00511879 -0.00408966 0.00461353 0.00437208 -0.00338073 0.00168908 -0.00419121 -0.0022737 -0.00150415
KronosII_P02_6.0_H03_ROS21411323.CEL ROS21411323 0.00106476 0.00720911 -0.000242888 -0.00595765 0.000578499 0.00568438 0.00104361 0.00228192 -0.00292545 0.00569796
KronosII_P02_6.0_H04_ROS21402304.CEL ROS21402304 0.00226496 0.000661009 -0.00191905 -0.0087806 -0.00362771 0.00398129 -0.00145989 -8.24445e-05 -0.00223385 -0.001459
KronosII_P02_6.0_H06_ROS15110134.CEL ROS15110134 -0.0116724 -0.00477047 0.00158824 0.0103375 0.00339732 -0.00630993 0.00537125 0.00482592 -0.00166568 0.000509893
KronosII_P02_6.0_H07_ROS15115927.CEL ROS15115927 0.000580442 0.0040287 0.00149679 -0.00352991 -0.0011764 0.0114676 -0.00127587 0.000276523 -0.00743427 0.00331603
KronosII_P02_6.0_H08_ROS21126085.CEL ROS21126085 -0.0113205 -0.00730294 -0.00146157 0.00618141 0.00164256 0.00320012 -0.00421749 -0.000592475 0.00498911 -0.00186243
KronosII_P03_6.0_A01_ROS10976490.CEL ROS10976490 0.00266021 -0.00084904 -0.00023154 -0.00993979 0.000135691 -0.00391484 0.0021026 0.00610469 0.005914 -0.0107702
KronosII_P03_6.0_A02_ROS20115276.CEL ROS20115276 -0.00967017 -0.00568705 -0.00550306 0.00619939 0.00432482 -0.00623223 0.00228482 -0.00675081 0.00295224 0.00171576
KronosII_P03_6.0_A03_ROS20904509.CEL ROS20904509 0.000422469 0.00453922 0.000332928 -0.00514251 0.000204608 0.0073222 0.00244687 0.00154847 0.00362884 0.00445983
KronosII_P03_6.0_A04_ROS21191200.CEL ROS21191200 -0.00462038 0.00132207 -0.00242496 -0.00174677 -0.0035867 0.00708335 8.16336e-05 -0.00439079 0.00685855 -0.0115975
KronosII_P03_6.0_A05_ROS21246218.CEL ROS21246218 0.0172398 -0.00490221 0.00513689 0.00765994 0.00400267 0.00132567 -0.00251675 0.0110409 -0.000948039 -0.00660225
KronosII_P03_6.0_A06_ROS20584923.CEL ROS20584923 0.000633177 0.00244425 0.00326631 -0.00712163 0.00147099 0.00504838 0.00128888 -0.011933 -0.00389623 0.00345642
KronosII_P03_6.0_A07_ROS20774339.CEL ROS20774339 0.00235928 0.0355679 -0.0050009 0.00661841 0.00484953 0.00231579 0.00183795 0.00399989 0.00159325 0.00302801
KronosII_P03_6.0_A09_ROS20559562.CEL ROS20559562 -0.000916727 0.00571284 0.000855104 -0.00255597 0.00129388 -0.00496698 0.00414799 0.00137041 -0.00323581 0.0102348
KronosII_P03_6.0_A10_ROS15139925.CEL ROS15139925 -0.00926438 -0.00397955 -0.00115396 0.0072897 0.00322773 0.00245831 0.00057347 0.00911317 0.00412781 -0.00519751
KronosII_P03_6.0_A11_ROS20557128.CEL ROS20557128 0.0151394 -0.00542095 -0.00568568 0.00458602 0.000209103 0.00367315 0.00334982 -0.00293975 -0.00222988 -0.00473384
